geomtype|pass_size|abc|group|g|maxdegbf|lambdas|plabel|num_orbits|deg|BelyiDB_plabel|a_s|b_s|c_s|triples|aut_group
text|smallint|smallint[]|text|smallint|smallint|jsonb|text|smallint|smallint|text|smallint|smallint|smallint|jsonb|jsonb

S|1|[1,1,1]|1T1|0|1|[[1],[1],[1]]|1T1-1_1_1|1|1|1T1-[1,1,1]-1-1-1-g0|1|1|1|[[[1],[1],[1]]]|[[1]]
S|1|[2,2,1]|2T1|0|1|[[2],[2],[1,1]]|2T1-2_2_1.1|1|2|2T1-[2,2,1]-2-2-11-g0|1|2|2|[[[2,1],[2,1],[1,2]]]|[[2,1]]
S|1|[3,3,1]|3T1|0|1|[[3],[3],[1,1,1]]|3T1-3_3_1.1.1|1|3|3T1-[3,3,1]-3-3-111-g0|1|3|3|[[[2,3,1],[3,1,2],[1,2,3]]]|[[2,3,1]]
E|1|[3,3,3]|3T1|1|1|[[3],[3],[3]]|3T1-3_3_3|1|3|3T1-[3,3,3]-3-3-3-g1|3|3|3|[[[2,3,1],[2,3,1],[2,3,1]]]|[[2,3,1]]
S|1|[3,2,2]|3T2|0|1|[[3],[2,1],[2,1]]|3T2-3_2.1_2.1|1|3|3T2-[3,2,2]-3-21-21-g0|2|2|3|[[[2,3,1],[1,3,2],[2,1,3]]]|[[1,2,3]]
S|1|[4,4,1]|4T1|0|1|[[4],[4],[1,1,1,1]]|4T1-4_4_1.1.1.1|1|4|4T1-[4,4,1]-4-4-1111-g0|1|4|4|[[[2,3,4,1],[4,1,2,3],[1,2,3,4]]]|[[2,3,4,1]]
E|1|[4,4,2]|4T1|1|1|[[4],[4],[2,2]]|4T1-4_4_2.2|1|4|4T1-[4,4,2]-4-4-22-g1|2|4|4|[[[2,3,4,1],[2,3,4,1],[3,4,1,2]]]|[[2,3,4,1]]
S|1|[2,2,2]|4T2|0|1|[[2,2],[2,2],[2,2]]|4T2-2.2_2.2_2.2|1|4|4T2-[2,2,2]-22-22-22-g0|2|2|2|[[[4,3,2,1],[2,1,4,3],[3,4,1,2]]]|[[3,4,1,2],[4,3,2,1]]
S|1|[4,2,2]|4T3|0|1|[[4],[2,2],[2,1,1]]|4T3-4_2.2_2.1.1|1|4|4T3-[4,2,2]-4-22-211-g0|2|2|4|[[[2,3,4,1],[2,1,4,3],[3,2,1,4]]]|[[3,4,1,2]]
S|1|[3,3,2]|4T4|0|1|[[3,1],[3,1],[2,2]]|4T4-3.1_3.1_2.2|1|4|4T4-[3,3,2]-31-31-22-g0|2|3|3|[[[2,3,1,4],[2,4,3,1],[3,4,1,2]]]|[[1,2,3,4]]
E|1|[3,3,3]|4T4|0|1|[[3,1],[3,1],[3,1]]|4T4-3.1_3.1_3.1|1|4|4T4-[3,3,3]-31-31-31-g0|3|3|3|[[[2,3,1,4],[3,2,4,1],[1,4,2,3]]]|[[1,2,3,4]]
S|1|[4,3,2]|4T5|0|1|[[4],[3,1],[2,1,1]]|4T5-4_3.1_2.1.1|1|4|4T5-[4,3,2]-4-31-211-g0|2|3|4|[[[2,3,4,1],[1,4,2,3],[2,1,3,4]]]|[[1,2,3,4]]
H|1|[4,4,3]|4T5|1|1|[[4],[4],[3,1]]|4T5-4_4_3.1|1|4|4T5-[4,4,3]-4-4-31-g1|3|4|4|[[[2,3,4,1],[3,1,4,2],[3,2,4,1]]]|[[1,2,3,4]]
S|1|[5,5,1]|5T1|0|1|[[5],[5],[1,1,1,1,1]]|5T1-5_5_1.1.1.1.1|1|5|5T1-[5,5,1]-5-5-11111-g0|1|5|5|[[[2,3,4,5,1],[5,1,2,3,4],[1,2,3,4,5]]]|[[2,3,4,5,1]]
H|3|[5,5,5]|5T1|2|1|[[5],[5],[5]]|5T1-5_5_5|3|5|5T1-[5,5,5]-5-5-5-g2|5|5|5|[[[2,3,4,5,1],[2,3,4,5,1],[4,5,1,2,3]],[[2,3,4,5,1],[4,5,1,2,3],[2,3,4,5,1]],[[2,3,4,5,1],[3,4,5,1,2],[3,4,5,1,2]]]|[[2,3,4,5,1]]
